Path,Text
/home/arfarh/data/icefall/egs/aishell/ASR/download_WTIMIT/aishell/data_aishell/wav/train/irm16/irm16_s13_s.wav,CALL AN AMBULANCE FOR MEDICAL ASSISTANCE
/home/arfarh/data/icefall/egs/aishell/ASR/download_WTIMIT/aishell/data_aishell/wav/train/irm16/irm16_s24_s.wav,IF CAROL COMES TOMORROW HAVE HER ANGE FOR A MEETING AT TWO
/home/arfarh/data/icefall/egs/aishell/ASR/download_WTIMIT/aishell/data_aishell/wav/train/irm16/irm16_s09_s.wav,HERE I WAS IN MIAMI AND ILLINOIS
/home/arfarh/data/icefall/egs/aishell/ASR/download_WTIMIT/aishell/data_aishell/wav/train/irm16/irm16_s02_s.wav,STOP EACH CAR IF IT'S LITTLE
/home/arfarh/data/icefall/egs/aishell/ASR/download_WTIMIT/aishell/data_aishell/wav/train/irm16/irm16_s29_s.wav,BRUSH FIRES ARE COMMON IN THE DRY UNDERBRUSH OF NEVADA
/home/arfarh/data/icefall/egs/aishell/ASR/download_WTIMIT/aishell/data_aishell/wav/train/irm16/irm16_s06_s.wav,CHARLIE DID YOU THINK TO MEASURE THE TREE
/home/arfarh/data/icefall/egs/aishell/ASR/download_WTIMIT/aishell/data_aishell/wav/train/irm16/irm16_s05_s.wav,IT'S BEEN ABOUT TWO YEARS SINCE DAVEY KEPT SHOTGUNS
/home/arfarh/data/icefall/egs/aishell/ASR/download_WTIMIT/aishell/data_aishell/wav/train/irm16/irm16_s17_s.wav,THE SERMON EMPHASIZED THE NEED FOR AFFIRMATIVE ACTION
/home/arfarh/data/icefall/egs/aishell/ASR/download_WTIMIT/aishell/data_aishell/wav/train/irm16/irm16_s15_s.wav,EACH UNTIMELY INCOME LOSS COINCIDED WITH THE BREAKDOWN OF A HEATING SYSTEM PART
/home/arfarh/data/icefall/egs/aishell/ASR/download_WTIMIT/aishell/data_aishell/wav/train/irm16/irm16_s26_s.wav,LAUGH DANCE AND SING IF FORTUNE SMILES UPON YOU
/home/arfarh/data/icefall/egs/aishell/ASR/download_WTIMIT/aishell/data_aishell/wav/train/irm16/irm16_s23_s.wav,SPECIAL TASK FORCES RESCUE HOSTAGES FROM KIDNAPPERS
/home/arfarh/data/icefall/egs/aishell/ASR/download_WTIMIT/aishell/data_aishell/wav/train/irm16/irm16_s20_s.wav,THE FRIGHTENED CHILD WAS GENTLY SUBDUED BY HIS BIG BROTHER
